image_id,file_name,event_type,prediction_index,predicted_label,actual_label,confidence,iou,prediction_box,gt_index,gt_box,relative_bbox_area,size_category,predicted_class,closest_gt_class
549,train_504.png,background_false_positive,0,2,2,0.6710330247879028,0.0,"[774.44384765625, 686.3258056640625, 1037.617431640625, 983.3593139648438]",0.0,,,,Caries,Caries
534,train_690.png,background_false_positive,0,2,2,0.655918300151825,0.0,"[825.623046875, 741.709228515625, 1067.204345703125, 1090.0810546875]",0.0,,,,Caries,Caries
461,train_361.png,background_false_positive,0,2,4,0.6522510051727295,0.0,"[825.8577880859375, 774.947265625, 1066.734130859375, 1090.30322265625]",0.0,,,,Caries,Deep Caries
49,train_568.png,background_false_positive,0,2,2,0.6496047377586365,0.001294554676860571,"[1774.137451171875, 666.906494140625, 1975.151611328125, 985.0527954101562]",1.0,,,,Caries,Caries
501,train_492.png,localization_error,0,2,2,0.6391834616661072,0.18221569061279297,"[1869.4705810546875, 844.9568481445312, 2123.966064453125, 1176.646484375]",3.0,,,,Caries,Caries
620,train_222.png,localization_error,0,2,2,0.6352999210357666,0.23893143236637115,"[1968.792724609375, 752.8140869140625, 2229.94140625, 1117.3843994140625]",2.0,,,,Caries,Caries
123,train_35.png,background_false_positive,0,2,1,0.625280499458313,0.0,"[960.3026123046875, 785.2459106445312, 1203.5615234375, 1054.3492431640625]",0.0,,,,Caries,Impacted
461,train_361.png,background_false_positive,1,2,4,0.624456524848938,0.0,"[680.7609252929688, 758.9857177734375, 927.39453125, 1048.868408203125]",0.0,,,,Caries,Deep Caries
426,train_20.png,background_false_positive,1,2,4,0.6220133900642395,0.19912517070770264,"[1924.8441162109375, 725.6903686523438, 2211.016357421875, 1048.48388671875]",1.0,,,,Caries,Deep Caries
684,train_179.png,localization_error,0,2,2,0.6183475255966187,0.11327462643384933,"[881.5447387695312, 436.1145324707031, 1051.707763671875, 744.5699462890625]",0.0,,,,Caries,Caries
134,train_319.png,background_false_positive,0,2,2,0.6179800629615784,0.09125486016273499,"[864.7315063476562, 481.1641540527344, 1025.3028564453125, 800.9827880859375]",0.0,,,,Caries,Caries
195,train_155.png,background_false_positive,0,2,4,0.6098146438598633,0.0,"[1050.1385498046875, 435.1300354003906, 1207.9395751953125, 770.2564697265625]",0.0,,,,Caries,Deep Caries
656,train_180.png,background_false_positive,0,2,2,0.6082292199134827,0.0,"[1543.911865234375, 900.4991455078125, 1795.8944091796875, 1207.2763671875]",0.0,,,,Caries,Caries
613,train_384.png,background_false_positive,0,2,2,0.6079187393188477,0.0,"[1814.240478515625, 762.15869140625, 2043.3843994140625, 1110.2864990234375]",0.0,,,,Caries,Caries
440,train_206.png,localization_error,1,2,2,0.607555091381073,0.22579659521579742,"[907.5519409179688, 696.6068115234375, 1116.60693359375, 1031.5679931640625]",1.0,,,,Caries,Caries
462,train_651.png,background_false_positive,1,2,4,0.6065744161605835,0.17068073153495789,"[705.71875, 832.332763671875, 956.624755859375, 1165.1817626953125]",1.0,,,,Caries,Deep Caries
