image_id,file_name,event_type,prediction_index,predicted_label,actual_label,confidence,iou,prediction_box,gt_index,gt_box,relative_bbox_area,size_category
63,train_592.png,classification_error,0,4,3,0.661297619342804,0.8360013365745544,"[1879.5208740234375, 863.640625, 2162.896484375, 1186.69775390625]",3.0,,,
462,train_651.png,classification_error,0,2,4,0.6578100919723511,0.8944150805473328,"[1897.2012939453125, 841.3971557617188, 2123.469970703125, 1186.4739990234375]",5.0,,,
217,train_578.png,classification_error,0,4,2,0.6473649144172668,0.761286199092865,"[1065.718017578125, 390.24090576171875, 1213.04931640625, 697.1622924804688]",2.0,,,
408,train_122.png,classification_error,0,2,4,0.6471091508865356,0.8316470384597778,"[782.1005859375, 369.5780029296875, 981.499755859375, 721.7272338867188]",0.0,,,
202,train_391.png,classification_error,0,4,2,0.6279382109642029,0.7862259745597839,"[1782.1934814453125, 462.7020568847656, 1936.603515625, 818.4175415039062]",13.0,,,
433,train_50.png,classification_error,0,2,4,0.6272926926612854,0.8761823773384094,"[1797.3751220703125, 838.767822265625, 2041.2393798828125, 1158.1488037109375]",0.0,,,
64,train_541.png,classification_error,0,2,3,0.6266772150993347,0.922938346862793,"[648.333984375, 779.4970703125, 916.05859375, 1032.67333984375]",4.0,,,
551,train_339.png,classification_error,0,4,3,0.614785373210907,0.5761696100234985,"[1783.296142578125, 729.769775390625, 2016.2596435546875, 1006.7301635742188]",0.0,,,
392,train_244.png,classification_error,1,2,4,0.6146178245544434,0.820349395275116,"[524.6156616210938, 858.47509765625, 779.5067138671875, 1171.9339599609375]",0.0,,,
514,train_472.png,classification_error,0,2,4,0.6043415069580078,0.924540102481842,"[1004.6376342773438, 721.4973754882812, 1280.2117919921875, 1023.0755004882812]",4.0,,,
251,train_460.png,classification_error,2,2,4,0.5961098670959473,0.863647997379303,"[1870.6192626953125, 826.4221801757812, 2152.512939453125, 1131.508544921875]",2.0,,,
195,train_155.png,classification_error,1,2,4,0.5884129405021667,0.7836487889289856,"[1745.40380859375, 494.0101318359375, 1882.6036376953125, 821.5340576171875]",0.0,,,
266,train_26.png,classification_error,0,2,4,0.5877114534378052,0.8863056898117065,"[1872.6519775390625, 819.1573486328125, 2073.947021484375, 1128.314208984375]",3.0,,,
25,train_176.png,classification_error,1,2,4,0.5872514843940735,0.8838326930999756,"[1769.8974609375, 753.4775390625, 2010.4193115234375, 1051.998291015625]",0.0,,,
556,train_192.png,classification_error,2,4,2,0.5862206220626831,0.8824620842933655,"[1036.828857421875, 935.0741577148438, 1261.61328125, 1209.3662109375]",0.0,,,
